race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10KM,10KM - ATE 59 ANOS - MASCULINO,270,c2f134ea0c2537688abd3374bbb90a4a81d69b13,d72e36943d952aa130eec7afccad8facb5439984,55,36,36,M,33,Personal Fitness,01:14:18.807
10KM,10KM - ATE 59 ANOS - FEMININO,271,1b142aedb6361860163e60e2b84a9de574263d57,343a64750c91beb633d50076101b655861f64175,45,16,16,F,37,Personal Fitness,01:13:08.246
10KM,10KM - ATE 59 ANOS - FEMININO,272,5275ddaeb4e4741ed363be66d5de9c2bc82c73c2,9846f761a0701e04202b3db8442da57ec3d38130,16,6,6,F,45,Personal Fitness,00:59:29.730
10KM,10KM - ATE 59 ANOS - FEMININO,273,d025d9b449772d412d95f0c57502b64dbc6bd2f9,2b75a73094093c9729c30686407adb9bf4377dc4,69,28,28,F,37,Personal Fitness,01:17:11.265
10KM,10KM - ATE 59 ANOS - FEMININO,274,4a063dde68085522666dfd951c73a44042f5067e,a43cf60f22bb1ec5e13d033e7da26d6b3162d271,24,11,11,F,36,Personal Fitness,01:05:06.459
10KM,10KM - ATE 59 ANOS - FEMININO,275,48a09462db61478023a2aa516f15e01fafbd425a,bf30cd9678cd6eefcb2d4518fecb9f4bc87e2692,59,22,22,F,31,TOP RUN ASSESSORIA ESPORTIVA,01:15:30.167
10KM,10KM - ATE 59 ANOS - MASCULINO,276,5aa5d6ad872ef6ebf324edba89f4a0cd88e702a4,1c5acaf9ddab81f2432663293988b53578a323cf,60,38,38,M,39,TOP RUN ASSESSORIA ESPORTIVA,01:15:30.440
10KM,10KM - ATE 59 ANOS - FEMININO,277,9acb71dcb3f400a3b5748ec7f7a091eeb5938e7d,3401d850b20ecc746f8a4d590cd426b1173b1d80,66,27,27,F,39,TOP RUN ASSESSORIA ESPORTIVA,01:16:01.655
10KM,10KM - ATE 59 ANOS - FEMININO,278,b17dea67c8155f309b06e9ee0c049896edc881ae,80523247c90922d694c6a06cb3d11cbed2502c3f,92,44,44,F,21,TOP RUN ASSESSORIA ESPORTIVA,01:22:30.641
10KM,10KM - ATE 59 ANOS - MASCULINO,279,6011288e1be0f276561fb390d0012e1ea365bc02,46dbf7da15da09d97bd6b0132574268a73563aca,155,74,77,M,33,TOP RUN ASSESSORIA ESPORTIVA,01:37:45.383
10KM,10KM - ATE 59 ANOS - FEMININO,280,69f97f9a75435f7ed33350fa42e26bb85d0e8291,01f956f00d6d2dfda57d1e3c490204af27e75eba,91,43,43,F,32,TOP RUN ASSESSORIA ESPORTIVA,01:22:30.046
