race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2264,600c2f84d8593b7b7ded8785f3e8526da55b2455,889a2c802bc144024f7efa568c88ee0bfb1f0f97,169,97,113,M,36,,02:24:00.945
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2265,21b5301e9f1c45967dc39ccb29d6911d581a6a6c,4b1e1c4f7dbc7b93328bf7c292173b33d11db139,112,76,88,M,36,,02:12:10.904
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2266,4362c01ba0b0432b449d9468346725a8c9448f48,223878ad3e2da4447bedc8757513841a27bf3fa0,216,110,130,M,31,,02:38:40.897
ASFALTO - 21Km,ASFALTO 21Km - MASTER: 50+ MASCULINO,2267,407aa2120bfdda64a2e7e2d5edbdce9228161c48,5faa7d22c819ca23fe3830abff70e6aa6654ab47,23,4,21,M,50,,01:45:50.377
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2268,c17719cede46e0766bf0165542dc218881d330ef,52eb37014b65df636ade65a68bec1dcbf1602623,14,12,14,M,43,,01:41:54.475
ASFALTO - 21Km,ASFALTO 21Km - MASTER: 50+ MASCULINO,2269,8cc6e11e0f04fead6176818d952a1b546de9f02e,ec80c66b8e1781a007911ef4715d6913ec480c56,9,1,9,M,54,,01:37:56.898
ASFALTO - 21Km,ASFALTO 21Km - MASTER: 50+ MASCULINO,2271,1df54b7b7e8efeef4f4155592b35bfcf2d73f269,b998e5a3affdc8df68cb3ac2b16be0146f603c24,13,2,13,M,53,,01:40:13.500
ASFALTO - 21Km,ASFALTO 21Km - GERAL MASCULINO,2273,cbbb3ca0acbca71cb20b44d84b10b232c8f5a0e3,68d2e1582139e5eb31cf1df857331364bad5ca10,115,79,91,M,42,,02:12:29.173
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2274,a47bf0d455f13e7636dd6e0ca75fd1a78542f3a1,308b15cae9820b1fd6d221a3232ac17ae38aa4b4,125,26,30,F,42,,02:14:46.054
ASFALTO - 21Km,ASFALTO 21Km - GERAL FEMININO,2275,4ae925c5c22fd1d98d4f8de037b56250a565b76b,d0f8a7560b9b78255d2e73b64f0fac445a1a236f,263,95,113,F,42,,03:25:31.847
