race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
10KM,10KM - ATE 59 ANOS - FEMININO,393,e49ec815155165db14dd073f70bd4e0fee6b2665,83876165322307c635064af1607e94a9f7210e19,77,30,30,F,51,MARATURISTA,01:22:36.644
10KM,10KM - ATE 59 ANOS - FEMININO,394,33168b96568bdc801762970fa33a467a30865273,e1cfeb09d9168123a7cdab8c5c090c0dd72cd282,80,32,32,F,40,Amigos Loucos Por Corrida,01:22:54.553
10KM,10KM - ATE 59 ANOS - FEMININO,395,bc12d1c8ea29c5b0b431de147947158640979cd8,bb4f11550fd19d4f03da349fa89ad1a244ebef8b,64,21,21,F,52,Amigas de corrida,01:19:20.741
10KM,10KM - ATE 59 ANOS - FEMININO,396,1843a01961074987f5a812702008d30280c92b83,364a00530cb6c07cc49fc77e421b9ff00fd33de0,8,2,2,F,32,Fit Run,00:49:23.394
10KM,10KM - ATE 59 ANOS - FEMININO,397,d016a8d7207fba698dff22289dfc677a647f3ff2,f0bea93364c742bee8c2e5291ffb76d62816f626,51,14,14,F,31,Ademir Paulino,01:16:27.723
10KM,10KM - ATE 59 ANOS - MASCULINO,398,17baffb2e4cc0026b56d08449eea75180d2d5760,02e1fa39c5ccb9155f4d068a96d3ca86339e803e,26,21,22,M,32,Avulso,01:04:59.220
10KM,10KM - ATE 59 ANOS - MASCULINO,400,21b3b094be1d08df12f3b4c8d7f3b30c729c1349,da39a3ee5e6b4b0d3255bfef95601890afd80709,93,15,56,M,,PMR,01:25:08.111
10KM,10KM - ATE 59 ANOS - MASCULINO,401,8ce679cd82cd5a8f39916c29a1b8202ba7d3df81,c50d4e18fef53dc3307d58f2881ab461831dff5f,78,8,48,M,56,Maraturista,01:22:36.694
10KM,10KM - ATE 59 ANOS - FEMININO,402,4cfd8c923922a709ca5548f8db75a2f409918e84,edb52ce1f0dd4bd42e1b2d09f37bbbd7a5402b82,72,28,28,F,36,,01:21:18.971
10KM,10KM - ATE 59 ANOS - MASCULINO,403,281d00ab29c73c0c3c6983448a3109efb2d380fb,cdbc46ee672a7a3057336fe082cf962ffcc0d197,19,15,15,M,30,Equipe Sena,01:02:38.491
10KM,10KM - 60 ANOS E ACIMA - FEMININO,404,f66801428639d9e84d18f5dae567c72eea636c5e,005da70c4958e8ad2d4ae42bdbb4ff8e4302d0fc,150,2,74,F,61,Ademir Paulino,01:43:20.385
10KM,10KM - ATE 59 ANOS - MASCULINO,405,bd43e6782d57c1997ebea1bc648ac8a97e38b545,e3a7b8e8c2f341046c71c86bb0f33f5df6064dc0,29,24,25,M,29,,01:05:57.774
21KM,21KM - ATE 59 ANOS - MASCULINO,406,1a1a43676ba7cb9b2c713854113021756a15bf8e,1cfbe82d19e52cd3ea926b3134cc0dd49e9d046f,201,29,104,M,51,Acoper,02:02:09.545
10KM,10KM - ATE 59 ANOS - MASCULINO,407,b614467f9147e06e130a5773f82dd116c6757a14,25aaadea08e7723aa691bf314a9831f0cbb82e40,27,22,23,M,34,Três Lagoas MS,01:05:34.511
10KM,10KM - ATE 59 ANOS - FEMININO,409,feab62082220c6c6505e9c9385d0c2f4b664757e,832f1c137af0a93057b92c602da47fbaf75f0f68,117,51,52,F,42,Não tem,01:32:29.349
10KM,10KM - ATE 59 ANOS - FEMININO,410,9785502baa3f9a6e7f1f8537bd0e3095fea75c21,10f192b60e30ee69f9f3af6e55c01d0fc47aa56a,144,68,69,F,40,,01:39:46.063
10KM,10KM - ATE 59 ANOS - FEMININO,411,10cda6702ab7f4a617ddf1b7539127adc1180c80,f793b99b1bedd1a1e202f27a6b7a9d8071d5c01c,199,86,96,F,40,Valdir Jr,02:00:35.307
10KM,10KM - ATÉ 59 ANOS - MASCULINO,412,19c860dd9e3bcf9f13c18780bd66bc9aff7d48e0,da39a3ee5e6b4b0d3255bfef95601890afd80709,56,1,39,M,,,01:17:08.226
10KM,10KM - ATE 59 ANOS - MASCULINO,413,46874b825ef9e433e42b334ef8141e183cd3fa33,406f35d45caaf10dd775219b0ebfab352e57271e,15,12,12,M,15,DINOSSAUROS CORREDORES,00:58:56.536
