race,category,bib,name,id,place,catPlace,sexPlace,sex,age,team,netTime
21K,21K - Geral Feminino,2141,8e43612738254cb776a0ca784754dabec5cdf7e6,20fd84e2131b6ea758de6e268de247243d40b512,127,33,38,F,,,02:23:15.561
21K,21K - Geral Feminino,2142,ef32c5edcc02e224076a92ef6f014707e4f8f315,604f5a1a3bee912a382918a7b3d6e031ce1c24dc,70,14,14,F,,,02:01:18.764
21K,21K - Geral Feminino,2143,4f081f171d60cf9313d5b3473e20abb0c38a8dec,78f572e19bb7827667200c7467e3cce509d84c2b,138,39,44,F,,,02:30:53.939
21K,21K - Geral Masculino,2145,6513a94f3ee8f48c798268da18d5006bb56ee5e8,d40eed02d6a3dc13e51c7936b8e087f02727c653,51,40,47,M,,,01:51:12.610
21K,21K - Master: acima de 50 anos Masculino,2146,3e489b8506777bc5d94bfbadf796fe19d1d33d6f,bfca883c7dbc9f82218d00c9b8a5dd789966f3a9,33,2,30,M,,,01:44:16.159
21K,21K - Geral Masculino,2147,f896fd7850344b296454d962cf28168a92bc79a2,54b3a5890e88a721b6bb4c93f5976fd0c7e92ed0,68,46,55,M,,,02:00:51.895
21K,21K - Geral Feminino,2148,6a23ccc82a60a508faf891339263ef074af2c0a3,8fc2e28e005a937166820fdbc6616fefe2bcbdb6,146,44,49,F,,,02:34:34.100
21K,21K - Geral Masculino,2149,66879cdb6fd1a0254474d361aa82d03a4acc6fc2,6a7ffc0fa87255c906e1b30334221717673b4329,110,67,78,M,,,02:18:03.114
21K,21K - Geral Masculino,2150,bb62fef850d5d0b1a20f057543bb3c2e158a2ec1,c5da4cf4edf555e03fd08438b0dbf11ddd4a2998,90,60,69,M,,,02:08:42.333
21K,21K - Geral Masculino,2151,59e85818a64262d629634aaa651dc0d5ac8cc338,767508c4f0dd2e04c8a4cbf0ca76e3f6eb799d92,14,13,13,M,,,01:35:06.353
21K,21K - Geral Masculino,2153,d4e0ebf04435a76a1878ef96ddcb838af31e925e,66e949ec230122e6ee94962fe45b0a5f0d4c000f,109,66,77,M,,,02:17:15.226
21K,21K - Geral Feminino,2155,c9c0ca66ca0bf3744679d59bd5f61e3e9e6d39fa,4b86886d2dfcddea8e687ee0ae109b6128a1791c,21,2,2,F,,,01:39:01.857
21K,21K - Geral Masculino,2156,2ab68afc9c3a9d85827121ecbe172062a6c68b51,91b74d9ea0004a36af926f671cb446918c79beb5,19,18,18,M,,,01:38:33.462
21K,21K - Master: acima de 50 anos Masculino,2157,0a5028a9b783c012ffccb3d870199d2cbec3a74c,f6c66223e3d998d7725fef0ca2bcaca55ccf6d33,29,1,26,M,,,01:43:25.110
21K,21K - Geral Masculino,2158,b1c87c1576ac769bf9e296ce605361438b85db0c,f0d7a8ad4779819581f00f778d9b9cca48d93eec,10,9,9,M,,,01:31:58.212
21K,21K - Geral Feminino,2159,2005953a5089cfa6f288f98dfd3e41a8cd97dd40,df05b601b6efa9d456f2dcbe153740bc13a39594,91,22,22,F,,,02:09:21.216
21K,21K - Geral Feminino,2160,10ff6df112d9a067d6820c8ee9df01aa85052ba5,8cc5f824caf60729f9fcf6e3de4f25e45f35679b,155,47,55,F,,,02:58:23.073
21K,21K - Geral Masculino,2161,3af3333082d516c21b795d890452e67802052f65,1fc3c9c159b4ef5e5fa4b7fa2ad0cc990cdee8c7,122,75,88,M,,,02:21:56.052
21K,21K - Geral Masculino,2163,40c9ace6654332b3b37f0efe9895611d7cfbae87,a5514c6a434e0b2704bc52578991ddfb5eaae8db,97,64,73,M,,,02:12:10.371
21K,21K - Geral Masculino,2164,66c7a62e2f53ee11ccc313ff196d299403dac860,691f6ec981440c45b613ad12a30e6b5ec5c27fc1,44,35,40,M,,,01:48:25.146
21K,21K - Geral Masculino,2165,df3bfe67a19ed5c34f1594fd41fb381633478078,a18c83249bc7af4bcdb76de0a14fa5e61c155a35,73,49,58,M,,,02:01:59.443
21K,21K - Geral Masculino,2166,373974f210677d129ae6bb0e46a04f49420f7119,b3811edc19a480f3ba0fa14863c7d5bdc8e48de7,85,57,66,M,,,02:07:08.449
21K,21K - Geral Feminino,2167,615bb6b5025383624667fabe9b2069c57a352b17,02e0168fe6b79263dd9563a22d6211edb103930a,98,25,25,F,,,02:12:42.960
21K,21K - Geral Feminino,2168,cac16b4edd3b2a0fb2cc49bf71631639f1e44850,40c011af996efe51bab1ddf4e3cd8e71279f0e93,132,35,40,F,,,02:26:30.735
21K,21K - Geral Masculino,2169,8a4ade2bf6c6697c9fd2c0e76996af95516057b4,43ae27cbba2960593db287951aab149e0e393b98,36,30,33,M,,,01:45:45.389
21K,21K - Geral Feminino,2171,eeaed8d4519c84322467affb1e7529c4205ddc3d,20924fdf53c97a874a144e1da80a482b2e11a1a7,147,45,50,F,,,02:34:52.636
21K,21K - Geral Feminino,2172,5f1f4cbe775d1ac9176c8fa0c16833ec7ee7c95d,0ba350a010f110e990b8bad2e897b3b798c44a89,61,10,10,F,,,01:57:15.706
21K,21K - Geral Masculino,2173,970e188cac987c6b39f61bc98d3152bf8e55f808,3a6d6e38b6ea51831bac85e7649fa6c0800e22fb,7,7,7,M,,,01:25:06.743
21K,21K - Master: acima de 50 anos Feminino,2174,deaac228ee29578ccd6d9543d08381921c127ec8,c5ac7dc55be55b9a4ea2b19d5245741f4c36046f,153,8,53,F,,,02:57:18.079
21K,21K - Geral Feminino,2175,01d7845a3f50cd3460279c3c6b0c40a1b67e053e,873483f00e37ec7cd485009cbfdcb92b65c77717,96,24,24,F,,,02:12:05.271
21K,21K - Geral Feminino,2176,211e0b3b06b146fafd1caff89395af134d359c74,8592eb26d1bed389d922232ef8fa0838ec698096,107,30,31,F,,,02:17:06.119
21K,21K - Master: acima de 50 anos Masculino,2177,f183d3eff5390c873f911eee1239e9d4f49859ba,18c650c4210f67af0f21e9bf553f1e9b85c3c59a,111,12,79,M,,,02:18:38.182
21K,21K - Master: acima de 50 anos Feminino,2178,bc0a8d419185d9d8b80c7d7a3877300e133e128d,617137858170e60ffcb10eb0996535432f849681,151,6,51,F,,,02:42:39.722
21K,21K - Geral Feminino,2179,b42e34ccfb2c099e11b5469800d90eea87cef548,2663393f03433d7f9297620594d0430af12bc630,100,26,27,F,,,02:13:46.810
21K,21K - Geral Masculino,2180,4bbada4f99bc130bda8b2a87369235b825a61514,83f3a78da61eb828646c47540b9fac51143dca77,92,61,70,M,,,02:09:23.706
21K,21K - Geral Feminino,2182,de09b9c6e722c806269746032c4ac4d1b2070dbd,c31440af859ed03fdac9625c4b7582e69cc92f8c,133,36,41,F,,,02:27:26.796
21K,21K - Geral Masculino,2183,11887351553bd201c4220765d3c95a2a9660d86b,b47e88338369f9472150f971da1c24263473dc6c,18,17,17,M,,,01:37:48.165
21K,21K - Geral Masculino,2185,6fee3f93b290f54717c0fb92fbc08ec7e0f8c5df,eeadd1035d1fcf143a4faff54f0f667f9ccdafdd,11,10,10,M,,,01:32:38.776
21K,21K - Geral Masculino,2186,b5dd22ae2b78203d755e2648a1aabc15e1482849,5878acb920aa8b0d04c126aa1ea3008381a42450,83,55,64,M,,,02:04:57.924
21K,21K - Master: acima de 50 anos Feminino,2187,85f05a975099038721ffec7016ba0c54fb7e357b,e5c06d970ff517afe5d51bf0f30ab3742e270d96,152,7,52,F,,,02:50:30.681
21K,21K - Geral Masculino,2188,fddd0408196d7a5efd81f785b86eea7ca55f132b,f5bfb31768737ee3b660b835e94c5744e5476d43,78,52,61,M,,,02:03:54.873
